,text,top_class,hate_speech,offensive_language,neither
91,"the title card and the music are up, refresh if you do not have them",neither,0.053716526105633364,0.3498278764414185,0.5964555974529482
92,hotel WiFi for the not-so-win tonight. here's hoping it holds out!!,neither,0.04917742383149515,0.31045051417562913,0.6403720619928758
93,Hey you've been doing well,neither,0.027230147501749485,0.354896519069042,0.6178733334292086
94,gandsGandsPoo gandsSCANLAN gandsGandsPoo,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
95,BIDET!!!! <3,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
96,whoa whats going on in HRE tonight? Bidet Everyone! :),neither,0.03077568051663728,0.4127153073594662,0.5565090121238965
97,gandsGrogSigil gandsGrogSigil gandsGrogSigil gandsGrogSigil gandsGrogSigil gandsGrogSigil gandsGrogSigil gandsGrogSigil gandsGrogSigil gandsGrogSigil gandsGrogSigil gandsGrogSigil,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
98,💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰💰,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
99,Beep Beep!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
100,chat why,neither,0.026105565135920668,0.34986284184752625,0.6240315930165531
101,gandsSubHype gandsSubHype gandsSubHype gandsSubHype,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
102,gandsSCANLAN gandsMatt gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
103,HI TALISEN!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
104,gandsMatt,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
105,bees knees travis!,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
106,gandsDerp gandsDerp gandsDerp gandsHecBird gandsHecBird gandsHecBird,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
107,Oh goodness...... I feel like I'm back in 90s California....,neither,0.06562664342336365,0.3025148467015153,0.6318585098751209
108,Who did I hurt in a past life to deserve this?,neither,0.049149236617593635,0.4172596417810454,0.533591121601361
109,:D,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
110,KappaPride,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
111,I need someone to heckle and blame.,neither,0.0439842048174538,0.2945096096758622,0.6615061855066839
112,"Blame Thordaak Blame Thoordaaak, with his beady little eyes, and his stupid town of spies",neither,0.1072982719140752,0.2560687412066959,0.636632986879229
113,Kreygasm,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
114,<3,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
115,gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN gandsSCANLAN,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
116,#HEAVYBREATHING O.O,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
117,gandsSCANLAN CAN I SHAMELESSLY LINK MY SONG ABOUT SCANLAN? gandsSCANLAN,neither,0.02776702535196231,0.4359664280219604,0.5362665466260773
118,"Have fun everyone, regardless of what happens!",neither,0.05463365633984424,0.4041165804218561,0.5412497632382998
119,adezeq BAD idea,neither,0.035038980983080566,0.3318943433088602,0.6330666757080592
120,hyperventilates,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
121,Dice polished - Candles lit - With this chant I summon Crit!,neither,0.032398154038444885,0.3547650693704562,0.6128367765910989
122,as in eveyrone dies,neither,0.0371274674112604,0.36984998306214417,0.5930225495265955
123,i like toitles too 🐢,neither,0.06576578114433645,0.3752074842233207,0.5590267346323429
124,чат,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
125,"more like snoredak, amirite?",neither,0.05349498093243076,0.3365972662764745,0.6099077527910947
126,ALBERTA REPRESENTING,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
127,OMG,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
128,bidet from brunswick ga,neither,0.040737273169946825,0.3085821584949149,0.6506805683351382
129,COME ON CRITTERS GET HYPED,neither,0.0346869377542266,0.3787125276064381,0.5866005346393353
130,Please oh yes!!!!,neither,0.0457427849394654,0.27089725543939336,0.6833599596211412
131,#DownWithTheCinderKing,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
132,gandsGandsVaxSigil,neither,0.039453208442083915,0.33037608806864915,0.6301707034892671
133,TPK from Lawrenceville NJ,neither,0.04069404815304118,0.30931579984010865,0.6499901520068502
